ability_score,game_times,win_game_times,in_player_game_times,in_player_win_game_times,out_player_win_game_times,role_score_avg,role_score_rate_avg,wideopen_num_avg,three_point_fieldgoal_rate_avg,two_point_fieldgoal_rate_avg,ass_num_avg,reb_num_avg,blk_num_avg,steal_num_avg,floor_num_avg,ballpass_num_avg,mvp_times_avg,skill_use_times_avg,ds
3422.0,297,132,93,213,39,4.0101010101010095,0.4107824881814782,0.03367003367003367,0.07526971251718725,0.372883597883598,1.2996632996633,2.5117845117845117,0.5959595959595959,0.1851851851851851,0.6666666666666666,5.821548821548822,0.1885521885521886,47.06397306397307,2020-10-28
3099.0,1427,666,631,1350,35,2.43447792571829,0.4096210080099966,0.01331464611072179,0.019144670248384333,0.4103570449233286,2.009810791871058,4.598458304134548,0.9516468114926422,0.06587245970567625,0.421864050455501,8.201121233356693,0.2929222144358795,36.8864751226349,2020-08-16
3318.0,868,413,379,805,34,2.7027649769585254,0.47951686050764397,0.02534562211981567,0.01952627825323678,0.493301971326165,1.441244239631336,2.8778801843317967,0.8076036866359447,0.0956221198156682,0.3271889400921659,6.271889400921659,0.18433179723502302,44.03801843317972,2020-12-01
3866.0,27,20,10,8,12,2.962962962962963,0.4879042962962963,0.0,-0.3703703703703703,0.506069962962963,2.6296296296296298,1.7037037037037042,0.9259259259259259,0.4074074074074074,1.62963037037037,8.259266666666667,0.1481481481481481,29.48147407407408,2020-08-08
3000.0,1295,698,460,874,238,4.6386100386100395,0.4571209726881995,0.032432432432432434,0.1287889930747074,0.3901425307097576,1.6,2.7382239382239377,0.4640926640926641,0.1868725868725869,1.041698841698842,7.423938223938223,0.2277992277992278,42.227799227799224,2020-10-03
3501.0,5952,3182,2020,3728,1162,3.630712365591398,0.5384205474931282,0.04939516129032258,0.0709126959883008,0.5454286990451309,2.008400537634409,2.9875672043010755,0.7466397849462365,0.3995295698924731,0.8093077956989247,9.001176075268818,0.2676411290322581,43.65608198924731,2020-11-06
3455.0,5330,2822,2399,4473,0,3.04671669793621,0.5167200961431732,0.003189493433395872,0.002814258911819887,0.5205280158657267,1.936022514071295,4.973545966228893,0.9872420262664166,0.05121951219512195,0.22570356472795497,9.75028142589118,0.3348968105065666,36.04390243902439,2020-09-20
3123.0,507,260,0,0,260,8.110453648915188,0.4204648326689745,0.13609467455621302,0.3963019229291419,0.2953977646285338,1.224852071005917,0.1439842209072978,0.2071005917159763,0.3353057199211045,1.4970414201183428,4.9250493096646935,0.08678500986193294,50.80867850098618,2020-10-30
3670.0,5144,2572,2541,5081,31,5.4852255054432355,0.6431793283492295,0.01127527216174184,0.005358994297563504,0.6508610029365227,1.5254665629860031,3.615668740279938,0.9101866251944012,0.104393468118196,0.3965785381026439,9.296267496111977,0.2768273716951788,41.794712286158635,2020-09-07
3283.0,269,139,97,189,42,4.260223048327139,0.4205646635479349,0.03717472118959108,0.08066688577840994,0.4291152981673426,1.3159851301115242,2.9851301115241635,1.0557620817843871,0.1747211895910781,0.5724907063197026,5.319702602230484,0.2639405204460967,46.12639405204461,2020-10-25
